Value1,Value2,Value3
91,126,217
226,0,226
32,32,64
48,202,250
316,253,569
397,411,808
290,322,612
316,136,452
425,25,450
445,332,777
394,411,805
146,443,589
64,231,295
377,366,743
373,257,630
227,358,585
12,411,423
332,218,550
203,421,624
306,6,312
426,219,645
320,402,722
136,472,608
382,184,566
463,299,762
488,365,853
306,206,512
467,298,765
195,313,508
300,81,381
108,134,242
367,136,503
222,229,451
382,25,407
342,356,698
252,400,652
380,35,415
427,90,517
344,259,603
140,457,597
249,5,254
236,439,675
295,412,707
354,193,547
228,477,705
329,461,790
26,273,299
225,60,285
174,460,634
466,263,729
264,470,734
280,55,335
86,89,175
352,81,433
9,124,133
422,107,529
83,78,161
3,338,341
290,326,616
289,94,383
121,384,505
364,398,762
172,282,454
142,452,594
118,442,560
127,270,397
189,416,605
162,160,322
394,346,740
495,82,577
65,283,348
156,20,176
448,93,541
59,369,428
343,137,480
228,149,377
258,366,624
258,453,711
314,396,710
490,183,673
488,16,504
292,73,365
114,46,160
62,78,140
54,469,523
441,367,808
113,471,584
450,480,930
285,331,616
2,184,186
414,161,575
257,334,591
167,299,466
441,196,637
345,246,591
115,172,287
59,358,417
190,319,509
432,16,448
458,399,857
359,129,488
332,58,390
149,330,479
153,327,480
203,299,502
271,405,676
432,499,931
119,426,545
209,80,289
289,467,756
220,19,239
330,266,596
128,456,584
237,1,238
499,149,648
97,88,185
429,459,888
201,424,625
259,438,697
10,105,115
214,164,378
108,463,571
25,451,476
431,342,773
367,350,717
216,53,269
250,78,328
481,308,789
233,418,651
482,170,652
169,285,454
239,13,252
488,75,563
320,28,348
241,125,366
431,129,560
237,32,269
156,117,273
171,244,415
114,485,599
500,391,891
350,215,565
487,318,805
65,473,538
403,197,600
498,107,605
300,435,735
373,316,689
214,8,222
120,191,311
51,403,454
194,480,674
123,253,376
84,217,301
391,2,393
162,379,541
121,282,403
337,441,778
228,419,647
239,46,285
315,381,696
3,59,62
175,163,338
192,24,216
232,168,400
338,414,752
103,47,150
84,143,227
424,53,477
423,492,915
95,6,101
226,41,267
37,96,133
432,56,488
88,471,559
298,394,692
436,159,595
361,23,384
435,427,862
487,156,643
439,495,934
385,140,525
107,399,506
219,496,715
342,485,827
87,248,335
163,480,643
121,426,547
480,433,913
437,287,724
134,359,493
80,168,248
34,3,37
474,83,557
28,365,393
420,153,573
117,490,607
498,490,988
123,334,457
107,483,590
245,113,358
334,93,427
468,232,700
296,213,509
96,259,355
306,87,393
376,369,745
435,33,468
194,279,473
143,143,286
194,165,359
211,193,404
346,106,452
216,106,322
292,381,673
162,442,604
390,191,581
308,230,538
231,216,447
238,133,371
162,102,264
377,23,400
433,147,580
55,330,385
489,162,651
479,370,849
424,354,778
259,215,474
441,368,809
164,112,276
119,9,128
51,394,445
357,181,538
8,237,245
230,13,243
400,236,636
132,191,323
78,177,255
163,263,426
333,275,608
382,68,450
380,151,531
263,99,362
320,397,717
438,302,740
259,10,269
396,474,870
432,181,613
391,403,794
132,110,242
358,196,554
112,74,186
373,126,499
244,465,709
246,483,729
266,110,376
266,426,692
489,468,957
264,275,539
215,180,395
161,232,393
383,130,513
472,124,596
401,416,817
233,366,599
256,162,418
341,32,373
39,473,512
340,445,785
151,205,356
38,495,533
157,69,226
222,85,307
84,473,557
178,52,230
219,221,440
343,421,764
222,250,472
170,492,662
165,313,478
222,142,364
54,341,395
35,416,451
214,56,270
411,69,480
94,197,291
32,180,212
8,251,259
28,97,125
106,442,548
437,105,542
282,415,697
83,314,397
125,458,583
441,343,784
414,141,555
29,87,116
192,197,389
270,31,301
8,407,415
164,300,464
266,291,557
120,366,486
8,398,406
280,168,448
467,175,642
264,498,762
58,260,318
429,208,637
57,283,340
143,459,602
355,98,453
302,252,554
42,22,64
81,88,169
311,320,631
315,232,547
469,256,725
467,19,486
143,161,304
10,219,229
352,152,504
421,260,681
407,431,838
266,242,508
405,59,464
462,54,516
329,30,359
286,242,528
103,477,580
407,246,653
160,131,291
230,376,606
489,17,506
430,209,639
165,36,201
401,399,800
101,309,410
174,394,568
283,154,437
86,266,352
213,176,389
387,295,682
383,485,868
288,390,678
244,27,271
305,320,625
117,423,540
229,186,415
204,307,511
297,342,639
287,67,354
289,202,491
241,249,490
226,65,291
261,137,398
379,364,743
324,361,685
390,338,728
441,370,811
96,85,181
397,298,695
445,104,549
48,340,388
261,201,462
168,159,327
486,324,810
261,221,482
109,450,559
288,435,723
298,30,328
477,363,840
396,500,896
468,451,919
318,258,576
95,41,136
179,370,549
259,258,517
269,429,698
464,38,502
241,231,472
438,462,900
162,318,480
445,26,471
143,238,381
66,352,418
93,217,310
196,254,450
19,437,456
78,328,406
400,270,670
306,342,648
239,171,410
475,34,509
133,96,229
362,45,407
172,312,484
398,310,708
354,267,621
440,268,708
