Value1,Value2,Value3
256,364,0.703296703
88,129,0.682170543
415,69,6.014492754
432,419,1.031026253
487,249,1.955823293
224,164,1.365853659
333,275,1.210909091
237,466,0.508583691
468,299,1.565217391
325,45,7.222222222
58,233,0.248927039
348,407,0.855036855
122,174,0.701149425
147,473,0.310782241
466,370,1.259459459
340,265,1.283018868
198,380,0.521052632
35,111,0.315315315
79,461,0.171366594
478,5,95.6
430,418,1.028708134
396,461,0.859002169
139,178,0.780898876
185,140,1.321428571
443,401,1.104738155
485,74,6.554054054
438,202,2.168316832
335,77,4.350649351
251,49,5.12244898
202,495,0.408080808
312,319,0.978056426
481,370,1.3
60,466,0.128755365
484,228,2.122807018
9,21,0.428571429
422,364,1.159340659
442,392,1.12755102
335,494,0.678137652
147,218,0.674311927
342,256,1.3359375
457,424,1.077830189
167,27,6.185185185
172,31,5.548387097
445,11,40.45454545
129,456,0.282894737
146,129,1.131782946
445,392,1.135204082
237,226,1.048672566
419,217,1.930875576
270,362,0.745856354
266,176,1.511363636
89,233,0.381974249
108,66,1.636363636
107,421,0.25415677
286,338,0.846153846
426,313,1.361022364
221,14,15.78571429
453,13,34.84615385
269,321,0.838006231
457,399,1.145363409
56,347,0.161383285
211,382,0.552356021
387,292,1.325342466
36,423,0.085106383
404,469,0.861407249
388,414,0.937198068
0,305,0
375,61,6.147540984
34,326,0.104294479
360,93,3.870967742
79,486,0.16255144
414,331,1.250755287
377,83,4.542168675
192,282,0.680851064
450,363,1.239669421
198,35,5.657142857
232,227,1.022026432
91,127,0.716535433
190,226,0.840707965
103,461,0.223427332
225,410,0.548780488
396,464,0.853448276
12,36,0.333333333
242,295,0.820338983
75,76,0.986842105
96,431,0.222737819
422,2,211
416,261,1.593869732
319,497,0.641851107
495,256,1.93359375
140,345,0.405797101
66,301,0.219269103
196,263,0.745247148
458,253,1.81027668
99,315,0.314285714
436,229,1.903930131
402,267,1.505617978
345,257,1.342412451
108,429,0.251748252
466,90,5.177777778
1,104,0.009615385
176,318,0.553459119
244,54,4.518518519
225,49,4.591836735
454,74,6.135135135
62,48,1.291666667
149,314,0.474522293
188,284,0.661971831
303,347,0.873198847
53,361,0.146814404
286,173,1.653179191
263,86,3.058139535
399,58,6.879310345
191,192,0.994791667
482,398,1.211055276
341,276,1.235507246
85,76,1.118421053
361,5,72.2
129,309,0.417475728
444,357,1.243697479
304,422,0.720379147
286,453,0.631346578
226,97,2.329896907
185,258,0.717054264
290,422,0.687203791
81,396,0.204545455
75,102,0.735294118
366,57,6.421052632
148,485,0.305154639
101,496,0.203629032
168,427,0.393442623
399,472,0.845338983
420,264,1.590909091
77,35,2.2
301,274,1.098540146
181,268,0.675373134
242,258,0.937984496
299,421,0.710213777
17,275,0.061818182
120,270,0.444444444
157,115,1.365217391
24,403,0.05955335
77,38,2.026315789
252,315,0.8
197,379,0.519788918
227,164,1.384146341
345,55,6.272727273
187,187,1
193,429,0.44988345
158,34,4.647058824
302,58,5.206896552
289,469,0.616204691
321,389,0.825192802
447,437,1.022883295
451,11,41
97,151,0.642384106
338,142,2.38028169
52,417,0.12470024
366,340,1.076470588
92,290,0.317241379
367,272,1.349264706
490,397,1.234256927
375,377,0.99469496
448,404,1.108910891
478,343,1.393586006
299,180,1.661111111
371,304,1.220394737
443,252,1.757936508
410,268,1.529850746
494,44,11.22727273
284,494,0.574898785
126,388,0.324742268
199,379,0.525065963
480,272,1.764705882
136,177,0.768361582
372,340,1.094117647
9,450,0.02
270,143,1.888111888
121,363,0.333333333
327,224,1.459821429
335,347,0.965417867
462,359,1.286908078
116,471,0.246284501
4,219,0.01826484
263,489,0.537832311
194,284,0.683098592
374,195,1.917948718
85,325,0.261538462
432,157,2.751592357
17,460,0.036956522
83,168,0.494047619
115,468,0.245726496
261,150,1.74
218,460,0.473913043
387,273,1.417582418
257,311,0.826366559
379,310,1.222580645
427,120,3.558333333
62,438,0.141552511
465,8,58.125
114,135,0.844444444
459,185,2.481081081
261,358,0.729050279
100,243,0.411522634
467,439,1.063781321
418,224,1.866071429
308,387,0.795865633
333,247,1.348178138
178,328,0.542682927
193,111,1.738738739
232,154,1.506493506
382,24,15.91666667
381,264,1.443181818
362,129,2.80620155
475,482,0.985477178
468,184,2.543478261
486,486,1
451,447,1.008948546
326,451,0.722838137
365,125,2.92
268,114,2.350877193
52,437,0.118993135
408,223,1.829596413
349,201,1.736318408
176,358,0.491620112
444,420,1.057142857
201,426,0.471830986
102,193,0.528497409
41,134,0.305970149
398,290,1.372413793
2,344,0.005813953
45,188,0.239361702
311,230,1.352173913
186,149,1.248322148
403,287,1.404181185
427,416,1.026442308
273,351,0.777777778
50,387,0.129198966
500,332,1.506024096
69,395,0.174683544
474,159,2.981132075
495,45,11
458,47,9.744680851
380,102,3.725490196
147,329,0.446808511
167,299,0.558528428
244,1,244
11,393,0.027989822
477,497,0.959758551
375,295,1.271186441
42,234,0.179487179
168,198,0.848484848
69,83,0.831325301
244,413,0.590799031
434,470,0.923404255
159,241,0.659751037
407,282,1.443262411
464,208,2.230769231
189,5,37.8
405,156,2.596153846
67,79,0.848101266
308,431,0.714617169
233,49,4.755102041
470,66,7.121212121
344,124,2.774193548
284,117,2.427350427
178,283,0.628975265
218,225,0.968888889
250,14,17.85714286
372,79,4.708860759
444,41,10.82926829
65,213,0.305164319
76,297,0.255892256
292,421,0.693586698
388,273,1.421245421
176,181,0.972375691
337,346,0.973988439
484,419,1.155131265
147,300,0.49
398,149,2.67114094
283,263,1.076045627
319,253,1.260869565
393,383,1.026109661
479,142,3.373239437
498,104,4.788461538
445,412,1.080097087
6,33,0.181818182
382,311,1.22829582
438,61,7.180327869
488,287,1.700348432
358,390,0.917948718
112,137,0.817518248
35,385,0.090909091
375,20,18.75
492,467,1.053533191
74,133,0.556390977
178,495,0.35959596
24,493,0.048681542
425,29,14.65517241
69,410,0.168292683
36,20,1.8
308,42,7.333333333
94,32,2.9375
352,315,1.117460317
458,24,19.08333333
95,171,0.555555556
347,68,5.102941176
53,328,0.161585366
252,203,1.24137931
487,117,4.162393162
362,176,2.056818182
64,313,0.204472843
181,403,0.449131514
173,493,0.350912779
80,154,0.519480519
4,76,0.052631579
263,115,2.286956522
198,195,1.015384615
56,292,0.191780822
432,361,1.1966759
168,91,1.846153846
328,195,1.682051282
340,40,8.5
39,312,0.125
97,193,0.502590674
160,79,2.025316456
454,407,1.115479115
204,485,0.420618557
219,268,0.817164179
418,183,2.284153005
117,324,0.361111111
491,357,1.37535014
387,239,1.619246862
243,355,0.684507042
312,69,4.52173913
48,218,0.220183486
249,120,2.075
196,103,1.902912621
182,464,0.392241379
495,462,1.071428571
247,11,22.45454545
316,183,1.726775956
490,489,1.00204499
135,496,0.272177419
118,67,1.76119403
121,427,0.283372365
429,183,2.344262295
122,225,0.542222222
466,249,1.871485944
29,293,0.098976109
415,242,1.714876033
362,326,1.110429448
278,203,1.369458128
496,462,1.073593074
236,500,0.472
261,31,8.419354839
355,75,4.733333333
479,195,2.456410256
180,27,6.666666667
391,433,0.903002309
81,188,0.430851064
408,353,1.155807365
323,186,1.73655914
68,481,0.141372141
211,21,10.04761905
31,141,0.219858156
429,340,1.261764706
403,276,1.460144928
417,241,1.730290456
305,483,0.631469979
489,17,28.76470588
70,230,0.304347826
331,398,0.831658291
137,313,0.437699681
238,316,0.753164557
384,103,3.72815534
12,270,0.044444444
168,103,1.631067961
403,455,0.885714286
37,293,0.126279863
114,178,0.640449438
164,143,1.146853147
247,349,0.70773639
496,141,3.517730496
43,265,0.162264151
266,386,0.689119171
335,368,0.910326087
242,343,0.705539359
347,219,1.584474886
186,141,1.319148936
73,136,0.536764706
113,310,0.364516129
15,380,0.039473684
195,359,0.543175487
267,202,1.321782178
145,112,1.294642857
347,392,0.885204082
20,284,0.070422535
321,297,1.080808081
187,329,0.568389058
